Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,
14,94.0,2.390457218668787,,,,14,74.0,8.0,,,,14,68.625,13.037805605238942,,,,14,64.14814814814815,1.4325244152454604,,,,14,64.0,1.9364916731037085,,,,14,,,,,,14,,,,,,19,,,,,,14,,,,,,14,,,,,,14,,,,,,18,,,,,
15,97.0,0.7071067811865476,,,,15,83.5,5.5,,,,15,67.77777777777777,12.856280590329536,,,,15,63.275862068965516,1.1415824384308173,,,,15,63.666666666666664,1.7950549357115013,,,,15,1.0,0.0,,,,15,,,,,,20,,,,,,15,,,,,,15,,,,,,19,,,,,,19,9.0,0.0,,,
16,98.0,1.0,,,,16,80.0,0.0,,,,16,65.71428571428571,12.858730060760672,,,,16,62.689655172413794,1.23465612344608,,,,16,63.285714285714285,1.2777531299998799,,,,16,,,,,,16,,,,,,21,,,,,,16,,,,,,16,,,,,,20,,,,,,20,,,,,
17,99.0,0.0,,,,21,94.33333333333333,5.90668171555645,,,,17,63.875,10.40958092336094,,,,17,62.2962962962963,1.1160384572829158,,,,17,62.75,1.1989578808281798,,,,17,,,,,,17,,,,,,22,,,,,,17,,,,,,17,,,,,,21,,,,,,21,,,,,
18,98.33333333333333,0.9428090415820634,,,,22,99.0,0.0,,,,18,59.285714285714285,1.6659862556700857,,,,18,61.92,1.0925200226998129,,,,18,62.714285714285715,1.2777531299998797,,,,18,,,,,,18,36.0,0.0,,,,23,,,,,,18,,,,,,18,,,,,,22,,,,,,22,,,,,
19,99.0,0.0,,,,23,99.0,0.0,,,,19,65.71428571428571,13.220268915724885,,,,19,61.36,1.0537551897855593,,,,19,62.125,1.0532687216470449,,,,19,,,,,,19,,,,,,,,,,,,19,,,,,,19,,,,,,23,,,,,,23,,,,,
20,99.0,0.0,,,,,,,,,,20,72.3,16.757386431063765,,,,20,60.95238095238095,0.8984743935292003,,,,20,61.0,1.0,,,,20,,,,,,20,,,,,,,,,,,,20,,,,,,20,,,,,,,,,,,,,,,,,
21,99.0,0.0,,,,,,,,,,21,73.91666666666667,18.522321368794163,,,,21,60.23076923076923,0.5756395979652217,,,,21,61.5,0.5,,,,21,,,,,,21,,,,,,,,,,,,21,,,,,,21,,,,,,,,,,,,,,,,,
22,99.0,0.0,,,,,,,,,,22,66.44444444444444,15.4568295664704,,,,22,60.07142857142857,1.5336364681131347,,,,22,61.4,1.3564659966250538,,,,22,,,,,,22,,,,,,,,,,,,22,,,,,,22,,,,,,,,,,,,,,,,,
23,99.0,0.0,,,,,,,,,,23,71.55555555555556,19.236025872253986,,,,23,60.0,1.2403473458920846,,,,23,61.0,1.0954451150103321,,,,23,,,,,,23,,,,,,,,,,,,23,,,,,,23,,,,,,,,,,,,,,,,,
