Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,,Hour,Mean RH(%),Standard Deviation (RH(%)),,,
January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
0,99.0,0.0,,,,0,98.33333333333333,0.9428090415820634,,,,0,77.5,19.653244007033546,,,,0,59.285714285714285,1.3850513878332367,,,,0,61.2,1.16619037896906,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1,99.0,0.0,,,,1,98.66666666666667,0.4714045207910317,,,,1,73.6,18.8902091041894,,,,1,61.5,1.118033988749895,,,,1,61.6,0.4898979485566356,,,,1,,,,,,1,51.0,0.0,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,
2,99.0,0.0,,,,2,96.4,5.2,,,,2,64.42857142857143,10.196037645745989,,,,2,63.55555555555556,1.3425606637327303,,,,2,63.25,0.4330127018922193,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,
3,97.25,3.442988043352266,,,,3,80.4,9.308061022576078,,,,3,70.22222222222223,12.126901021904224,,,,3,65.45454545454545,1.6160353486028343,,,,3,64.0,0.0,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,
4,79.33333333333333,8.65383665716478,,,,4,66.25,9.256754290786809,,,,4,68.27272727272727,7.059370421206246,,,,4,66.8,2.580697580112788,,,,4,65.5,0.5,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,
5,60.0,7.713624310270756,,,,5,55.0,13.856406460551018,,,,5,65.75,5.165994579942956,,,,5,67.15384615384616,3.194855331891567,,,,5,65.71428571428571,2.2497165354319457,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,
6,57.75,6.179603547154137,,,,6,49.5,8.351646544245034,,,,6,66.5,2.958039891549808,,,,6,68.0,3.5300904324873126,,,,6,65.33333333333333,3.1622776601683795,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,
7,56.36363636363637,4.436885215240884,,,,7,52.625,16.038527831443883,,,,7,59.625,21.2422780087259,,,,7,68.92592592592592,3.310207847630271,,,,7,66.14285714285714,3.090472521826276,,,,7,,,,,,7,40.5,26.5,,,,7,,,,,,7,,,,,,7,,,,,,7,,,,,,7,,,,,
8,51.142857142857146,4.050699108216522,,,,8,51.333333333333336,9.977753031397176,,,,8,68.5,3.5,,,,8,69.08,3.36951035018443,,,,8,66.14285714285714,2.4159335036125373,,,,8,,,,,,8,,,,,,8,,,,,,8,,,,,,8,,,,,,8,,,,,,8,,,,,
9,48.57142857142857,8.599952539024235,,,,9,45.5,6.5,,,,9,62.55555555555556,11.490199796262234,,,,9,69.48148148148148,2.8722216252357473,,,,9,68.0,1.7888543819998317,,,,9,,,,,,9,,,,,,9,,,,,,9,,,,,,9,,,,,,9,,,,,,9,,,,,
10,56.25,3.897114317029974,,,,10,45.333333333333336,5.436502143433364,,,,10,66.0,3.5355339059327378,,,,10,69.17857142857143,3.047874803256612,,,,10,67.28571428571429,2.0503857277724746,,,,10,,,,,,10,,,,,,14,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,
11,70.25,3.960744879438715,,,,11,44.5,11.5,,,,11,65.0,3.559026084010437,,,,11,68.48,2.787400222429495,,,,11,66.625,1.4947825928876748,,,,11,,,,,,11,,,,,,16,54.0,0.0,,,,11,,,,,,11,,,,,,11,,,,,,11,,,,,
12,78.25,4.14578098794425,,,,12,55.666666666666664,9.877021593352701,,,,12,65.57142857142857,4.624689730353899,,,,12,66.86206896551724,2.096370228078712,,,,12,66.14285714285714,1.5518257844571737,,,,12,9.0,0.0,,,,12,,,,,,17,,,,,,12,,,,,,12,,,,,,12,,,,,,12,,,,,
13,87.33333333333333,4.85340659285368,,,,13,64.0,11.0,,,,13,68.875,12.594021399060747,,,,13,65.4074074074074,1.7268952928703358,,,,13,64.625,1.79843682124227,,,,13,,,,,,13,,,,,,18,,,,,,13,,,,,,13,,,,,,13,,,,,,13,,,,,
